+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 11   | Melmetal                |    4 |  12.50% |  75.00% |
| 11   | Weavile                 |    4 |  12.50% |  50.00% |
| 14   | Tyranitar               |    3 |   9.38% | 100.00% |
| 14   | Excadrill               |    3 |   9.38% | 100.00% |
| 14   | Magnezone               |    3 |   9.38% | 100.00% |
| 14   | Kartana                 |    3 |   9.38% |  66.67% |
| 14   | Scizor                  |    3 |   9.38% |  33.33% |
| 14   | Corviknight             |    3 |   9.38% |  33.33% |
| 20   | Latios                  |    2 |   6.25% | 100.00% |
| 20   | Zapdos                  |    2 |   6.25% | 100.00% |
| 20   | Kyurem                  |    2 |   6.25% |  50.00% |
| 20   | Dragonite               |    2 |   6.25% |  50.00% |
| 20   | Tapu Koko               |    2 |   6.25% |  50.00% |
| 20   | Cresselia               |    2 |   6.25% |  50.00% |
| 20   | Lopunny                 |    2 |   6.25% |  50.00% |
| 20   | Medicham                |    2 |   6.25% |  50.00% |
| 20   | Charizard               |    2 |   6.25% |   0.00% |
| 29   | Celesteela              |    1 |   3.12% | 100.00% |
| 29   | Diancie                 |    1 |   3.12% | 100.00% |
| 29   | Pinsir                  |    1 |   3.12% | 100.00% |
| 29   | Diggersby               |    1 |   3.12% | 100.00% |
| 29   | Mantine                 |    1 |   3.12% | 100.00% |
| 29   | Volcarona               |    1 |   3.12% | 100.00% |
| 29   | Slowking                |    1 |   3.12% | 100.00% |
| 29   | Moltres                 |    1 |   3.12% | 100.00% |
| 29   | Rapidash                |    1 |   3.12% | 100.00% |
| 29   | Chansey                 |    1 |   3.12% | 100.00% |
| 29   | Sableye                 |    1 |   3.12% | 100.00% |
| 29   | Suicune                 |    1 |   3.12% | 100.00% |
| 29   | Rillaboom               |    1 |   3.12% |   0.00% |
| 29   | Quagsire                |    1 |   3.12% |   0.00% |
| 29   | Serperior               |    1 |   3.12% |   0.00% |
| 29   | Donphan                 |    1 |   3.12% |   0.00% |
| 29   | Mew                     |    1 |   3.12% |   0.00% |
| 29   | Keldeo                  |    1 |   3.12% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 13   | [Volcarona]             |   32 |  14.68% |  56.25% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Quiver Dance            |   13 |  40.62% |  30.77% |
| 2    | Flamethrower            |    8 |  25.00% |  50.00% |
| 3    | Bug Buzz                |    7 |  21.88% |  42.86% |
| 4    | Roost                   |    2 |   6.25% |  50.00% |
| 4    | Substitute              |    2 |   6.25% |  50.00% |
| 6    | Hidden Power            |    1 |   3.12% | 100.00% |
| 6    | Savage Spin-Out         |    1 |   3.12% | 100.00% |
| 6    | Psychic                 |    1 |   3.12% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   17 |  53.12% |  58.82% |
| 2    | Ferrothorn              |   11 |  34.38% |  54.55% |
| 2    | Tapu Lele               |   11 |  34.38% |  54.55% |
| 4    | Rotom-Wash              |   10 |  31.25% |  70.00% |
| 4    | Diancie                 |   10 |  31.25% |  60.00% |
| 6    | Kartana                 |    8 |  25.00% |  62.50% |
| 7    | Serperior               |    6 |  18.75% |  50.00% |
| 8    | Tapu Fini               |    5 |  15.62% | 100.00% |
| 8    | Medicham                |    5 |  15.62% |  60.00% |
| 8    | Greninja-*              |    5 |  15.62% |  60.00% |
| 8    | Dragonite               |    5 |  15.62% |  20.00% |
| 12   | Garchomp                |    4 |  12.50% |  75.00% |
| 12   | Weavile                 |    4 |  12.50% |  75.00% |
| 12   | Gliscor                 |    4 |  12.50% |  50.00% |
| 12   | Kyurem                  |    4 |  12.50% |  50.00% |
| 12   | Mawile                  |    4 |  12.50% |  50.00% |
| 17   | Cresselia               |    3 |   9.38% |  66.67% |
| 17   | Chansey                 |    3 |   9.38% |  33.33% |
| 17   | Corviknight             |    3 |   9.38% |  33.33% |
| 17   | Kommo-o                 |    3 |   9.38% |  33.33% |
| 17   | Suicune                 |    3 |   9.38% |  33.33% |
| 17   | Tapu Koko               |    3 |   9.38% |  33.33% |
| 23   | Latias                  |    2 |   6.25% | 100.00% |
| 23   | Thundurus-Therian       |    2 |   6.25% |  50.00% |
| 23   | Lopunny                 |    2 |   6.25% |  50.00% |
| 23   | Sableye                 |    2 |   6.25% |   0.00% |
| 23   | Pyukumuku               |    2 |   6.25% |   0.00% |
| 28   | Mew                     |    1 |   3.12% | 100.00% |
| 28   | Skarmory                |    1 |   3.12% | 100.00% |
| 28   | Clefable                |    1 |   3.12% | 100.00% |
| 28   | Toxapex                 |    1 |   3.12% | 100.00% |
| 28   | Bisharp                 |    1 |   3.12% | 100.00% |
| 28   | Nihilego                |    1 |   3.12% | 100.00% |
| 28   | Cloyster                |    1 |   3.12% | 100.00% |
| 28   | Barbaracle              |    1 |   3.12% | 100.00% |
| 28   | Vivillon                |    1 |   3.12% | 100.00% |
| 28   | Aegislash               |    1 |   3.12% | 100.00% |
| 28   | Charizard               |    1 |   3.12% | 100.00% |
| 28   | Slowking-Galar          |    1 |   3.12% | 100.00% |
| 28   | Grimmsnarl              |    1 |   3.12% |   0.00% |
| 28   | Manaphy                 |    1 |   3.12% |   0.00% |
| 28   | Victini                 |    1 |   3.12% |   0.00% |
| 28   | Scizor                  |    1 |   3.12% |   0.00% |
| 28   | Excadrill               |    1 |   3.12% |   0.00% |
| 28   | Gyarados                |    1 |   3.12% |   0.00% |
| 28   | Thundurus               |    1 |   3.12% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 16   | [Gliscor]               |   31 |  14.22% |  35.48% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Earthquake              |   19 |  61.29% |  36.84% |
| 2    | Roost                   |   15 |  48.39% |  53.33% |
| 3    | Swords Dance            |    9 |  29.03% |  55.56% |
| 4    | U-turn                  |    7 |  22.58% |  42.86% |
| 5    | Defog                   |    6 |  19.35% |  50.00% |
| 5    | Knock Off               |    6 |  19.35% |  33.33% |
| 7    | Facade                  |    5 |  16.13% | 100.00% |
| 8    | Toxic                   |    4 |  12.90% |   0.00% |
| 9    | Stealth Rock            |    2 |   6.45% |   0.00% |
| 10   | Taunt                   |    1 |   3.23% |   0.00% |
| 10   | Protect                 |    1 |   3.23% |   0.00% |
| 10   | Substitute              |    1 |   3.23% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Toxapex                 |   18 |  58.06% |  38.89% |
| 2    | Chansey                 |   15 |  48.39% |  26.67% |
| 3    | Ferrothorn              |    9 |  29.03% |  55.56% |
| 3    | Diancie                 |    9 |  29.03% |  33.33% |
| 3    | Slowbro                 |    9 |  29.03% |  22.22% |
| 6    | Greninja-*              |    7 |  22.58% |  57.14% |
| 6    | Skarmory                |    7 |  22.58% |  28.57% |
| 8    | Latias                  |    6 |  19.35% |  66.67% |
| 8    | Reuniclus               |    6 |  19.35% |  16.67% |
| 10   | Clefable                |    5 |  16.13% |  60.00% |
| 10   | Weavile                 |    5 |  16.13% |  40.00% |
| 10   | Corviknight             |    5 |  16.13% |  20.00% |
| 10   | Lopunny                 |    5 |  16.13% |  20.00% |
| 10   | Magnezone               |    5 |  16.13% |  20.00% |
| 15   | Volcarona               |    4 |  12.90% |  50.00% |
| 15   | Kartana                 |    4 |  12.90% |  25.00% |
| 17   | Ditto                   |    3 |   9.68% |  66.67% |
| 17   | Kyurem                  |    3 |   9.68% |  66.67% |
| 17   | Zapdos                  |    3 |   9.68% |  33.33% |
| 17   | Scizor                  |    3 |   9.68% |  33.33% |
| 21   | Tapu Fini               |    2 |   6.45% |  50.00% |
| 21   | Celesteela              |    2 |   6.45% |  50.00% |
| 21   | Sableye                 |    2 |   6.45% |   0.00% |
| 21   | Pyukumuku               |    2 |   6.45% |   0.00% |
| 21   | Aegislash               |    2 |   6.45% |   0.00% |
| 21   | Blissey                 |    2 |   6.45% |   0.00% |
| 21   | Rillaboom               |    2 |   6.45% |   0.00% |
| 28   | Melmetal                |    1 |   3.23% | 100.00% |
| 28   | Latios                  |    1 |   3.23% | 100.00% |
| 28   | Tapu Koko               |    1 |   3.23% | 100.00% |
| 28   | Charizard               |    1 |   3.23% | 100.00% |
| 28   | Heatran                 |    1 |   3.23% |   0.00% |
| 28   | Tyranitar               |    1 |   3.23% |   0.00% |
| 28   | Hydreigon               |    1 |   3.23% |   0.00% |
| 28   | Cresselia               |    1 |   3.23% |   0.00% |
| 28   | Beedrill                |    1 |   3.23% |   0.00% |
| 28   | Pidgeot                 |    1 |   3.23% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 17   | [Latias]                |   28 |  12.84% |  46.43% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Calm Mind               |   15 |  53.57% |  46.67% |
| 2    | Ice Beam                |   12 |  42.86% |  33.33% |
| 3    | Roost                   |   11 |  39.29% |  36.36% |
| 4    | Aura Sphere             |    6 |  21.43% |  50.00% |
| 5    | Psyshock                |    5 |  17.86% |  80.00% |
| 5    | Recover                 |    5 |  17.86% |  60.00% |
| 7    | Thunderbolt             |    2 |   7.14% |  50.00% |
| 7    | Stored Power            |    2 |   7.14% |  50.00% |
| 9    | Psychic                 |    1 |   3.57% | 100.00% |
| 9    | Mystical Fire           |    1 |   3.57% | 100.00% |
| 9    | Thunder                 |    1 |   3.57% | 100.00% |
| 9    | Defog                   |    1 |   3.57% |   0.00% |
| 9    | Draco Meteor            |    1 |   3.57% |   0.00% |
| 9    | Reflect Type            |    1 |   3.57% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Clefable                |   15 |  53.57% |  40.00% |
| 2    | Landorus-Therian        |   13 |  46.43% |  38.46% |
| 3    | Toxapex                 |   11 |  39.29% |  72.73% |
| 3    | Heatran                 |   11 |  39.29% |  36.36% |
| 5    | Ferrothorn              |   10 |  35.71% |  40.00% |
| 6    | Weavile                 |    7 |  25.00% |  57.14% |
| 7    | Gliscor                 |    6 |  21.43% |  66.67% |
| 8    | Rotom-Wash              |    5 |  17.86% |  40.00% |
| 8    | Greninja-*              |    5 |  17.86% |  20.00% |
| 10   | Tyranitar               |    4 |  14.29% |  75.00% |
| 10   | Excadrill               |    4 |  14.29% |  75.00% |
| 10   | Tapu Fini               |    4 |  14.29% |  50.00% |
| 10   | Gastrodon               |    4 |  14.29% |  50.00% |
| 10   | Melmetal                |    4 |  14.29% |  50.00% |
| 15   | Celesteela              |    3 |  10.71% | 100.00% |
| 15   | Skarmory                |    3 |  10.71% |  66.67% |
| 15   | Chansey                 |    3 |  10.71% |  33.33% |
| 15   | Reuniclus               |    3 |  10.71% |  33.33% |
| 15   | Kartana                 |    3 |  10.71% |  33.33% |
| 20   | Volcarona               |    2 |   7.14% | 100.00% |
| 20   | Deoxys-Defense          |    2 |   7.14% |  50.00% |
| 20   | Kyurem                  |    2 |   7.14% |  50.00% |
| 20   | Tapu Lele               |    2 |   7.14% |  50.00% |
| 20   | Rillaboom               |    2 |   7.14% |   0.00% |
| 20   | Corviknight             |    2 |   7.14% |   0.00% |
| 26   | Ditto                   |    1 |   3.57% | 100.00% |
| 26   | Zapdos                  |    1 |   3.57% | 100.00% |
| 26   | Zeraora                 |    1 |   3.57% |   0.00% |
| 26   | Slowbro                 |    1 |   3.57% |   0.00% |
| 26   | Buzzwole                |    1 |   3.57% |   0.00% |
| 26   | Cresselia               |    1 |   3.57% |   0.00% |
| 26   | Quagsire                |    1 |   3.57% |   0.00% |
| 26   | Magnezone               |    1 |   3.57% |   0.00% |
| 26   | Serperior               |    1 |   3.57% |   0.00% |
| 26   | Keldeo                  |    1 |   3.57% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 18   | [Melmetal]              |   27 |  12.39% |  51.85% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Double Iron Bash        |   17 |  62.96% |  58.82% |
| 2    | Earthquake              |    6 |  22.22% |  66.67% |
| 3    | Ice Punch               |    5 |  18.52% |  80.00% |
| 3    | Superpower              |    5 |  18.52% |  40.00% |
| 3    | Protect                 |    5 |  18.52% |  40.00% |
| 6    | Thunder Punch           |    4 |  14.81% | 100.00% |
| 6    | Thunder Wave            |    4 |  14.81% |  75.00% |
| 8    | Toxic                   |    3 |  11.11% |  33.33% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   18 |  66.67% |  44.44% |
| 2    | Greninja-*              |    9 |  33.33% |  33.33% |
| 3    | Rotom-Wash              |    8 |  29.63% |  62.50% |
| 3    | Zapdos                  |    8 |  29.63% |  62.50% |
| 5    | Diancie                 |    7 |  25.93% |  71.43% |
| 5    | Tapu Fini               |    7 |  25.93% |  57.14% |
| 7    | Lopunny                 |    5 |  18.52% |  80.00% |
| 7    | Weavile                 |    5 |  18.52% |  60.00% |
| 7    | Tapu Lele               |    5 |  18.52% |  40.00% |
| 7    | Medicham                |    5 |  18.52% |  20.00% |
| 7    | Tapu Koko               |    5 |  18.52% |  20.00% |
| 7    | Hawlucha                |    5 |  18.52% |  20.00% |
| 13   | Kartana                 |    4 |  14.81% | 100.00% |
| 13   | Clefable                |    4 |  14.81% |  75.00% |
| 13   | Garchomp                |    4 |  14.81% |  75.00% |
| 13   | Latias                  |    4 |  14.81% |  50.00% |
| 17   | Victini                 |    3 |  11.11% |  66.67% |
| 18   | Ferrothorn              |    2 |   7.41% |  50.00% |
| 18   | Manectric               |    2 |   7.41% |  50.00% |
| 18   | Cresselia               |    2 |   7.41% |  50.00% |
| 18   | Moltres                 |    2 |   7.41% |  50.00% |
| 18   | Pelipper                |    2 |   7.41% |   0.00% |
| 18   | Swampert                |    2 |   7.41% |   0.00% |
| 24   | Gliscor                 |    1 |   3.70% | 100.00% |
| 24   | Rillaboom               |    1 |   3.70% | 100.00% |
| 24   | Hatterene               |    1 |   3.70% | 100.00% |
| 24   | Porygon2                |    1 |   3.70% | 100.00% |
| 24   | Marowak-Alola           |    1 |   3.70% | 100.00% |
| 24   | Crawdaunt               |    1 |   3.70% | 100.00% |
| 24   | Gastrodon               |    1 |   3.70% | 100.00% |
| 24   | Skarmory                |    1 |   3.70% | 100.00% |
| 24   | Serperior               |    1 |   3.70% | 100.00% |
| 24   | Gyarados                |    1 |   3.70% | 100.00% |
| 24   | Kommo-o                 |    1 |   3.70% |   0.00% |
| 24   | Slowking-Galar          |    1 |   3.70% |   0.00% |
| 24   | Hydreigon               |    1 |   3.70% |   0.00% |
| 24   | Tangrowth               |    1 |   3.70% |   0.00% |
| 24   | Azumarill               |    1 |   3.70% |   0.00% |
| 24   | Decidueye               |    1 |   3.70% |   0.00% |
| 24   | Charizard               |    1 |   3.70% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 19   | [Garchomp]              |   26 |  11.93% |  57.69% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Earthquake              |   13 |  50.00% |  69.23% |
| 2    | Stealth Rock            |   11 |  42.31% |  72.73% |
| 3    | Swords Dance            |   10 |  38.46% |  60.00% |
| 4    | Continental Crush       |    5 |  19.23% | 100.00% |
| 4    | Devastating Drake       |    5 |  19.23% |  60.00% |
| 6    | Scale Shot              |    4 |  15.38% |  50.00% |
| 7    | Toxic                   |    3 |  11.54% |  33.33% |
| 7    | Aqua Tail               |    3 |  11.54% |   0.00% |
| 9    | Stone Edge              |    2 |   7.69% | 100.00% |
| 9    | Outrage                 |    2 |   7.69% | 100.00% |
| 9    | Fire Fang               |    2 |   7.69% |  50.00% |
| 9    | Protect                 |    2 |   7.69% |  50.00% |
| 13   | Tectonic Rage           |    1 |   3.85% | 100.00% |
| 13   | Fire Blast              |    1 |   3.85% |   0.00% |
| 13   | Dragon Tail             |    1 |   3.85% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tapu Fini               |   17 |  65.38% |  58.82% |
| 2    | Zapdos                  |   11 |  42.31% |  54.55% |
| 3    | Ferrothorn              |   10 |  38.46% |  30.00% |
| 4    | Lopunny                 |    9 |  34.62% |  33.33% |
| 5    | Kartana                 |    6 |  23.08% |  66.67% |
| 5    | Corviknight             |    6 |  23.08% |  66.67% |
| 7    | Volcarona               |    4 |  15.38% |  75.00% |
| 7    | Rotom-Wash              |    4 |  15.38% |  75.00% |
| 7    | Diancie                 |    4 |  15.38% |  75.00% |
| 7    | Melmetal                |    4 |  15.38% |  75.00% |
| 7    | Tapu Lele               |    4 |  15.38% |  75.00% |
| 7    | Heatran                 |    4 |  15.38% |  25.00% |
| 13   | Greninja-*              |    3 |  11.54% |  66.67% |
| 13   | Landorus-Therian        |    3 |  11.54% |  66.67% |
| 13   | Rillaboom               |    3 |  11.54% |  66.67% |
| 13   | Weavile                 |    3 |  11.54% |  33.33% |
| 17   | Cresselia               |    2 |   7.69% | 100.00% |
| 17   | Mawile                  |    2 |   7.69% | 100.00% |
| 17   | Serperior               |    2 |   7.69% | 100.00% |
| 17   | Tapu Koko               |    2 |   7.69% | 100.00% |
| 17   | Magnezone               |    2 |   7.69% | 100.00% |
| 17   | Charizard               |    2 |   7.69% |  50.00% |
| 17   | Slowbro                 |    2 |   7.69% |  50.00% |
| 17   | Slowking-Galar          |    2 |   7.69% |  50.00% |
| 17   | Kyurem                  |    2 |   7.69% |   0.00% |
| 26   | Scizor                  |    1 |   3.85% | 100.00% |
| 26   | Zeraora                 |    1 |   3.85% | 100.00% |
| 26   | Heracross               |    1 |   3.85% | 100.00% |
| 26   | Medicham                |    1 |   3.85% | 100.00% |
| 26   | Slowking                |    1 |   3.85% | 100.00% |
| 26   | Hippowdon               |    1 |   3.85% | 100.00% |
| 26   | Skarmory                |    1 |   3.85% | 100.00% |
| 26   | Toxapex                 |    1 |   3.85% | 100.00% |
| 26   | Excadrill               |    1 |   3.85% | 100.00% |
| 26   | Grimmsnarl              |    1 |   3.85% |   0.00% |
| 26   | Manaphy                 |    1 |   3.85% |   0.00% |
| 26   | Kommo-o                 |    1 |   3.85% |   0.00% |
| 26   | Buzzwole                |    1 |   3.85% |   0.00% |
| 26   | Decidueye               |    1 |   3.85% |   0.00% |
| 26   | Moltres                 |    1 |   3.85% |   0.00% |
| 26   | Urshifu                 |    1 |   3.85% |   0.00% |
| 26   | Gallade                 |    1 |   3.85% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 20   | [Tapu Koko]             |   24 |  11.01% |  50.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Volt Switch             |   11 |  45.83% |  63.64% |
| 2    | Hidden Power            |    7 |  29.17% |  57.14% |
| 3    | Thunderbolt             |    6 |  25.00% |  66.67% |
| 3    | Dazzling Gleam          |    6 |  25.00% |  50.00% |
| 5    | Roost                   |    5 |  20.83% | 100.00% |
| 6    | Gigavolt Havoc          |    4 |  16.67% | 100.00% |
| 7    | Wild Charge             |    3 |  12.50% |  66.67% |
| 7    | U-turn                  |    3 |  12.50% |  33.33% |
| 9    | Taunt                   |    2 |   8.33% |  50.00% |
| 9    | Guardian of Alola       |    2 |   8.33% |  50.00% |
| 11   | Calm Mind               |    1 |   4.17% | 100.00% |
| 11   | Nature's Madness        |    1 |   4.17% | 100.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   18 |  75.00% |  38.89% |
| 2    | Greninja-*              |   10 |  41.67% |  60.00% |
| 3    | Medicham                |    9 |  37.50% |  44.44% |
| 4    | Ferrothorn              |    8 |  33.33% |  62.50% |
| 5    | Hawlucha                |    7 |  29.17% |  14.29% |
| 6    | Mawile                  |    5 |  20.83% |  40.00% |
| 6    | Dragonite               |    5 |  20.83% |  40.00% |
| 6    | Melmetal                |    5 |  20.83% |  20.00% |
| 9    | Heatran                 |    4 |  16.67% | 100.00% |
| 9    | Tapu Fini               |    4 |  16.67% |  25.00% |
| 11   | Skarmory                |    3 |  12.50% |  66.67% |
| 11   | Scizor                  |    3 |  12.50% |  66.67% |
| 11   | Victini                 |    3 |  12.50% |  33.33% |
| 11   | Volcarona               |    3 |  12.50% |  33.33% |
| 15   | Garchomp                |    2 |   8.33% | 100.00% |
| 15   | Corviknight             |    2 |   8.33% | 100.00% |
| 15   | Charizard               |    2 |   8.33% | 100.00% |
| 15   | Serperior               |    2 |   8.33% |  50.00% |
| 15   | Clefable                |    2 |   8.33% |  50.00% |
| 15   | Gastrodon               |    2 |   8.33% |  50.00% |
| 21   | Venusaur                |    1 |   4.17% | 100.00% |
| 21   | Seismitoad              |    1 |   4.17% | 100.00% |
| 21   | Cresselia               |    1 |   4.17% | 100.00% |
| 21   | Gliscor                 |    1 |   4.17% | 100.00% |
| 21   | Chansey                 |    1 |   4.17% | 100.00% |
| 21   | Slowbro                 |    1 |   4.17% | 100.00% |
| 21   | Slowking                |    1 |   4.17% | 100.00% |
| 21   | Porygon-Z               |    1 |   4.17% | 100.00% |
| 21   | Urshifu                 |    1 |   4.17% | 100.00% |
| 21   | Pinsir                  |    1 |   4.17% | 100.00% |
| 21   | Jirachi                 |    1 |   4.17% | 100.00% |
| 21   | Kommo-o                 |    1 |   4.17% | 100.00% |
| 21   | Gyarados                |    1 |   4.17% |   0.00% |
| 21   | Blacephalon             |    1 |   4.17% |   0.00% |
| 21   | Beedrill                |    1 |   4.17% |   0.00% |
| 21   | Magnezone               |    1 |   4.17% |   0.00% |
| 21   | Zapdos                  |    1 |   4.17% |   0.00% |
| 21   | Diancie                 |    1 |   4.17% |   0.00% |
| 21   | Weavile                 |    1 |   4.17% |   0.00% |
| 21   | Tangrowth               |    1 |   4.17% |   0.00% |
| 21   | Rotom-Wash              |    1 |   4.17% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 21   | [Tyranitar]             |   20 |   9.17% |  70.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Stone Edge              |    9 |  45.00% |  66.67% |
| 1    | Pursuit                 |    9 |  45.00% |  55.56% |
| 3    | Crunch                  |    7 |  35.00% |  71.43% |
| 4    | Stealth Rock            |    3 |  15.00% |  66.67% |
| 5    | Earthquake              |    1 |   5.00% | 100.00% |
| 5    | Ice Punch               |    1 |   5.00% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Excadrill               |   18 |  90.00% |  72.22% |
| 2    | Zapdos                  |   10 |  50.00% |  60.00% |
| 3    | Tapu Lele               |    8 |  40.00% |  62.50% |
| 3    | Ferrothorn              |    8 |  40.00% |  62.50% |
| 3    | Toxapex                 |    8 |  40.00% |  62.50% |
| 6    | Lopunny                 |    7 |  35.00% |  57.14% |
| 7    | Celesteela              |    6 |  30.00% |  83.33% |
| 8    | Latias                  |    4 |  20.00% |  75.00% |
| 8    | Skarmory                |    4 |  20.00% |  75.00% |
| 8    | Reuniclus               |    4 |  20.00% |  50.00% |
| 11   | Clefable                |    3 |  15.00% | 100.00% |
| 11   | Landorus-Therian        |    3 |  15.00% | 100.00% |
| 11   | Urshifu                 |    3 |  15.00% |  66.67% |
| 14   | Rotom-Wash              |    2 |  10.00% | 100.00% |
| 14   | Kyurem                  |    2 |  10.00% | 100.00% |
| 14   | Serperior               |    2 |  10.00% | 100.00% |
| 17   | Tangrowth               |    1 |   5.00% | 100.00% |
| 17   | Slowbro                 |    1 |   5.00% | 100.00% |
| 17   | Blissey                 |    1 |   5.00% | 100.00% |
| 17   | Tapu Fini               |    1 |   5.00% | 100.00% |
| 17   | Heatran                 |    1 |   5.00% | 100.00% |
| 17   | Ditto                   |    1 |   5.00% |   0.00% |
| 17   | Gliscor                 |    1 |   5.00% |   0.00% |
| 17   | Corviknight             |    1 |   5.00% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 21   | [Excadrill]             |   20 |   9.17% |  70.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Rapid Spin              |   13 |  65.00% |  69.23% |
| 2    | Iron Head               |   10 |  50.00% |  80.00% |
| 2    | Earthquake              |   10 |  50.00% |  70.00% |
| 4    | Swords Dance            |    8 |  40.00% |  75.00% |
| 5    | Corkscrew Crash         |    6 |  30.00% |  66.67% |
| 6    | Stealth Rock            |    2 |  10.00% |  50.00% |
| 7    | Rock Tomb               |    1 |   5.00% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Tyranitar               |   18 |  90.00% |  72.22% |
| 2    | Tapu Lele               |   10 |  50.00% |  60.00% |
| 3    | Zapdos                  |    9 |  45.00% |  55.56% |
| 4    | Toxapex                 |    8 |  40.00% |  75.00% |
| 4    | Ferrothorn              |    8 |  40.00% |  62.50% |
| 6    | Lopunny                 |    7 |  35.00% |  57.14% |
| 7    | Celesteela              |    6 |  30.00% |  83.33% |
| 8    | Skarmory                |    4 |  20.00% | 100.00% |
| 8    | Latias                  |    4 |  20.00% |  75.00% |
| 10   | Clefable                |    3 |  15.00% | 100.00% |
