+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   35 |  51.47% |  40.00% |
| 2    | Zapdos                  |   25 |  36.76% |  44.00% |
| 3    | Lopunny                 |   23 |  33.82% |  39.13% |
| 4    | Tapu Fini               |   21 |  30.88% |  33.33% |
| 5    | Greninja-*              |   19 |  27.94% |  47.37% |
| 6    | Tapu Lele               |   17 |  25.00% |  52.94% |
| 7    | Weavile                 |   15 |  22.06% |  53.33% |
| 8    | Rotom-Wash              |   12 |  17.65% |  41.67% |
| 8    | Heatran                 |   12 |  17.65% |  25.00% |
| 10   | Volcarona               |   11 |  16.18% |  54.55% |
| 10   | Diancie                 |   11 |  16.18% |  36.36% |
| 12   | Latias                  |   10 |  14.71% |  40.00% |
| 12   | Garchomp                |   10 |  14.71% |  30.00% |
| 12   | Clefable                |   10 |  14.71% |  20.00% |
| 15   | Gliscor                 |    9 |  13.24% |  55.56% |
| 16   | Tyranitar               |    8 |  11.76% |  62.50% |
| 16   | Excadrill               |    8 |  11.76% |  62.50% |
| 16   | Tapu Koko               |    8 |  11.76% |  62.50% |
| 16   | Pelipper                |    8 |  11.76% |  50.00% |
| 16   | Swampert                |    8 |  11.76% |  50.00% |
| 21   | Medicham                |    7 |  10.29% |  85.71% |
| 21   | Manaphy                 |    7 |  10.29% |  57.14% |
| 21   | Victini                 |    7 |  10.29% |  28.57% |
| 24   | Dragonite               |    6 |   8.82% |  16.67% |
| 25   | Toxapex                 |    3 |   4.41% |  66.67% |
| 25   | Mawile                  |    3 |   4.41% |  33.33% |
| 27   | Chansey                 |    2 |   2.94% | 100.00% |
| 27   | Slowbro                 |    2 |   2.94% | 100.00% |
| 27   | Blacephalon             |    2 |   2.94% | 100.00% |
| 27   | Melmetal                |    2 |   2.94% |  50.00% |
| 27   | Deoxys-Defense          |    2 |   2.94% |  50.00% |
| 27   | Charizard               |    2 |   2.94% |  50.00% |
| 27   | Kartana                 |    2 |   2.94% |   0.00% |
| 34   | Urshifu                 |    1 |   1.47% | 100.00% |
| 34   | Ditto                   |    1 |   1.47% | 100.00% |
| 34   | Meloetta                |    1 |   1.47% | 100.00% |
| 34   | Reuniclus               |    1 |   1.47% |   0.00% |
| 34   | Scizor                  |    1 |   1.47% |   0.00% |
| 34   | Hawlucha                |    1 |   1.47% |   0.00% |
| 34   | Buzzwole                |    1 |   1.47% |   0.00% |
| 34   | Pidgeot                 |    1 |   1.47% |   0.00% |
| 34   | Kyurem                  |    1 |   1.47% |   0.00% |
| 34   | Keldeo                  |    1 |   1.47% |   0.00% |
| 34   | Blissey                 |    1 |   1.47% |   0.00% |
| 34   | Skarmory                |    1 |   1.47% |   0.00% |
| 34   | Gallade                 |    1 |   1.47% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 3    | [Tapu Fini]             |   55 |  25.23% |  47.27% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Moonblast               |   29 |  52.73% |  51.72% |
| 2    | Scald                   |   14 |  25.45% |  50.00% |
| 2    | Defog                   |   14 |  25.45% |  42.86% |
| 2    | Taunt                   |   14 |  25.45% |  42.86% |
| 5    | Nature's Madness        |   10 |  18.18% |  50.00% |
| 6    | Trick                   |    9 |  16.36% |  44.44% |
| 7    | Hydro Pump              |    8 |  14.55% |  50.00% |
| 7    | Draining Kiss           |    8 |  14.55% |  37.50% |
| 9    | Calm Mind               |    6 |  10.91% |  33.33% |
| 10   | Whirlpool               |    3 |   5.45% |  66.67% |
| 10   | Surf                    |    3 |   5.45% |  33.33% |
| 12   | Knock Off               |    1 |   1.82% | 100.00% |
| 12   | Hidden Power            |    1 |   1.82% |   0.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   37 |  67.27% |  40.54% |
| 2    | Zapdos                  |   21 |  38.18% |  47.62% |
| 2    | Ferrothorn              |   21 |  38.18% |  33.33% |
| 4    | Garchomp                |   17 |  30.91% |  58.82% |
| 4    | Heatran                 |   17 |  30.91% |  35.29% |
| 6    | Lopunny                 |   16 |  29.09% |  43.75% |
| 7    | Weavile                 |   15 |  27.27% |  60.00% |
| 8    | Kartana                 |   10 |  18.18% |  50.00% |
| 9    | Diancie                 |    9 |  16.36% |  44.44% |
| 9    | Victini                 |    9 |  16.36% |  22.22% |
| 11   | Melmetal                |    7 |  12.73% |  57.14% |
| 12   | Tapu Lele               |    6 |  10.91% |  33.33% |
| 12   | Greninja-*              |    6 |  10.91% |  33.33% |
| 14   | Volcarona               |    5 |   9.09% | 100.00% |
| 14   | Mawile                  |    5 |   9.09% |  60.00% |
| 16   | Magnezone               |    4 |   7.27% |  75.00% |
| 16   | Serperior               |    4 |   7.27% |  75.00% |
| 16   | Latias                  |    4 |   7.27% |  50.00% |
| 16   | Scizor                  |    4 |   7.27% |  50.00% |
| 16   | Dragonite               |    4 |   7.27% |  25.00% |
| 16   | Tapu Koko               |    4 |   7.27% |  25.00% |
| 16   | Kyurem                  |    4 |   7.27% |  25.00% |
| 23   | Corviknight             |    3 |   5.45% | 100.00% |
| 23   | Torkoal                 |    3 |   5.45% |  66.67% |
| 23   | Shiftry                 |    3 |   5.45% |  66.67% |
| 23   | Venusaur                |    3 |   5.45% |  66.67% |
| 23   | Blaziken                |    3 |   5.45% |  66.67% |
| 23   | Charizard               |    3 |   5.45% |  33.33% |
| 29   | Cresselia               |    2 |   3.64% | 100.00% |
| 29   | Blacephalon             |    2 |   3.64% | 100.00% |
| 29   | Deoxys-Defense          |    2 |   3.64% |  50.00% |
| 29   | Gliscor                 |    2 |   3.64% |  50.00% |
| 29   | Medicham                |    2 |   3.64% |  50.00% |
| 29   | Tangrowth               |    2 |   3.64% |   0.00% |
| 35   | Zeraora                 |    1 |   1.82% | 100.00% |
| 35   | Heracross               |    1 |   1.82% | 100.00% |
| 35   | Rotom-Wash              |    1 |   1.82% | 100.00% |
| 35   | Meloetta                |    1 |   1.82% | 100.00% |
| 35   | Rillaboom               |    1 |   1.82% | 100.00% |
| 35   | Tyranitar               |    1 |   1.82% | 100.00% |
| 35   | Slowking-Galar          |    1 |   1.82% | 100.00% |
| 35   | Manectric               |    1 |   1.82% |   0.00% |
| 35   | Kommo-o                 |    1 |   1.82% |   0.00% |
| 35   | Beedrill                |    1 |   1.82% |   0.00% |
| 35   | Hoopa-Unbound           |    1 |   1.82% |   0.00% |
| 35   | Hawlucha                |    1 |   1.82% |   0.00% |
| 35   | Buzzwole                |    1 |   1.82% |   0.00% |
