+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Decidueye               |    1 |  12.50% | 100.00% |
| 1    | Guzzlord                |    1 |  12.50% | 100.00% |
| 1    | Stakataka               |    1 |  12.50% | 100.00% |
| 1    | Froslass                |    1 |  12.50% | 100.00% |
| 1    | Golurk                  |    1 |  12.50% |   0.00% |
| 1    | Rotom-Mow               |    1 |  12.50% |   0.00% |
| 1    | Vaporeon                |    1 |  12.50% |   0.00% |
| 1    | Salazzle                |    1 |  12.50% |   0.00% |
