+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Rotom-Wash              |    1 |  12.50% | 100.00% |
| 1    | Mandibuzz               |    1 |  12.50% | 100.00% |
| 1    | Salamence               |    1 |  12.50% | 100.00% |
| 1    | Scizor                  |    1 |  12.50% | 100.00% |
| 1    | Hydreigon               |    1 |  12.50% |   0.00% |
| 1    | Hippowdon               |    1 |  12.50% |   0.00% |
| 1    | Darmanitan              |    1 |  12.50% |   0.00% |
| 1    | Froslass                |    1 |  12.50% |   0.00% |
