+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Uxie                    |    3 |  18.75% |  66.67% |
| 2    | Qwilfish                |    1 |   6.25% | 100.00% |
| 2    | Accelgor                |    1 |   6.25% | 100.00% |
| 2    | Skuntank                |    1 |   6.25% | 100.00% |
| 2    | Bouffalant              |    1 |   6.25% | 100.00% |
| 2    | Miltank                 |    1 |   6.25% | 100.00% |
| 2    | Gourgeist-Small         |    1 |   6.25% | 100.00% |
| 2    | Kadabra                 |    1 |   6.25% |   0.00% |
| 2    | Silvally                |    1 |   6.25% |   0.00% |
| 2    | Rhydon                  |    1 |   6.25% |   0.00% |
| 2    | Liepard                 |    1 |   6.25% |   0.00% |
| 2    | Persian-Alola           |    1 |   6.25% |   0.00% |
| 2    | Stunfisk                |    1 |   6.25% |   0.00% |
| 2    | Thwackey                |    1 |   6.25% |   0.00% |
