+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Passimian               |    4 |  12.50% |  25.00% |
| 2    | Whimsicott              |    2 |   6.25% | 100.00% |
| 2    | Mesprit                 |    2 |   6.25% |  50.00% |
| 2    | Eelektross              |    2 |   6.25% |  50.00% |
| 2    | Venusaur                |    2 |   6.25% |  50.00% |
| 2    | Pyroar                  |    2 |   6.25% |  50.00% |
| 2    | Jolteon                 |    2 |   6.25% |   0.00% |
| 2    | Skuntank                |    2 |   6.25% |   0.00% |
| 9    | Klawf                   |    1 |   3.12% | 100.00% |
| 9    | Arboliva                |    1 |   3.12% | 100.00% |
| 9    | Vikavolt                |    1 |   3.12% | 100.00% |
| 9    | Whiscash                |    1 |   3.12% | 100.00% |
| 9    | Samurott                |    1 |   3.12% | 100.00% |
| 9    | Sandaconda              |    1 |   3.12% | 100.00% |
| 9    | Hitmontop               |    1 |   3.12% | 100.00% |
| 9    | Camerupt                |    1 |   3.12% | 100.00% |
| 9    | Sandslash               |    1 |   3.12% | 100.00% |
| 9    | Regirock                |    1 |   3.12% |   0.00% |
| 9    | Crabominable            |    1 |   3.12% |   0.00% |
| 9    | Clawitzer               |    1 |   3.12% |   0.00% |
| 9    | Greedent                |    1 |   3.12% |   0.00% |
| 9    | Orthworm                |    1 |   3.12% |   0.00% |
