+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Purugly                 |    2 |  14.29% |   0.00% |
| 2    | Golem                   |    1 |   7.14% | 100.00% |
| 2    | Mawile                  |    1 |   7.14% | 100.00% |
| 2    | Dusclops                |    1 |   7.14% | 100.00% |
| 2    | Monferno                |    1 |   7.14% | 100.00% |
| 2    | Komala                  |    1 |   7.14% | 100.00% |
| 2    | Leafeon                 |    1 |   7.14% | 100.00% |
| 2    | Silvally                |    1 |   7.14% | 100.00% |
| 2    | Electivire              |    1 |   7.14% |   0.00% |
| 2    | Trevenant               |    1 |   7.14% |   0.00% |
| 2    | Lycanroc-Midnight       |    1 |   7.14% |   0.00% |
| 2    | Rotom-Fan               |    1 |   7.14% |   0.00% |
| 2    | Dugtrio                 |    1 |   7.14% |   0.00% |
