+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Grumpig            |    4 |  50.00% |  75.00% |
| 1    | Solrock            |    4 |  50.00% |  75.00% |
| 1    | Pawniard           |    4 |  50.00% |  25.00% |
| 1    | Leafeon            |    4 |  50.00% |  25.00% |
| 1    | Arbok              |    4 |  50.00% |  25.00% |
| 6    | Simisear           |    3 |  37.50% |  33.33% |
| 7    | Persian            |    2 |  25.00% | 100.00% |
| 7    | Emolga             |    2 |  25.00% | 100.00% |
| 7    | Staryu             |    2 |  25.00% | 100.00% |
| 7    | Meganium           |    2 |  25.00% |  50.00% |
| 7    | Mothim             |    2 |  25.00% |  50.00% |
| 7    | Raichu             |    2 |  25.00% |   0.00% |
| 7    | Whiscash           |    2 |  25.00% |   0.00% |
| 7    | Bibarel            |    2 |  25.00% |   0.00% |
| 15   | Muk                |    1 |  12.50% | 100.00% |
| 15   | Walrein            |    1 |  12.50% | 100.00% |
| 15   | Mienfoo            |    1 |  12.50% | 100.00% |
| 15   | Lampent            |    1 |  12.50% | 100.00% |
| 15   | Shelgon            |    1 |  12.50% | 100.00% |
| 15   | Lairon             |    1 |  12.50% | 100.00% |
| 15   | Shelmet            |    1 |  12.50% |   0.00% |
| 15   | Frillish           |    1 |  12.50% |   0.00% |
| 15   | Clefairy           |    1 |  12.50% |   0.00% |
